symbol,timestamp,open,high,low,CLOSE,TOTTRDQTY
20MICRONS,2018-01-01,58.95,60.7,57.9,58.75,156506
3IINFOTECH,2018-01-01,8.4,8.8,8.3,8.8,14085506
3MINDIA,2018-01-01,18901,19990,18901,19264.55,2361
5PAISA,2018-01-01,383,383,357.25,357.45,32513
63MOONS,2018-01-01,119.55,124.4,118,119.4,685352
8KMILES,2018-01-01,908,921.85,900,901.95,74853
A2ZINFRA,2018-01-01,41,44.3,40.7,42.35,5268119
AARTIDRUGS,2018-01-01,646,658,631.9,634.15,18513
AARTIIND,2018-01-01,1147.75,1149.9,1125.1,1141,106698
AARVEEDEN,2018-01-01,50,51,48.85,50.2,57825
ABAN,2018-01-01,203.95,205.4,200.7,201.3,624616
ABB,2018-01-01,1412,1413,1390.05,1399.65,44720
ABBOTINDIA,2018-01-01,5525,5561.05,5485.25,5497.75,1527
ABCAPITAL,2018-01-01,184.5,189.3,184,186.4,2837824
ABFRL,2018-01-01,170.1,174.1,169.2,170,289762
ACC,2018-01-01,1763.95,1763.95,1725,1731.35,123565
ACCELYA,2018-01-01,1455,1455,1425,1433.65,984
ACE,2018-01-01,144,145.5,141.1,141.6,350474
ADANIENT,2018-01-01,165.8,169.85,165,166.05,4220395
ADANIPORTS,2018-01-01,406.7,407.7,398.05,399.65,2701537
ADANIPOWER,2018-01-01,41.6,45.2,40.9,42.6,34368848
ADANITRANS,2018-01-01,224.15,226.8,218.5,219.7,1005616
ADFFOODS,2018-01-01,315,317.8,310.5,312.85,179522
ADHUNIK,2018-01-01,6.5,7.3,6.3,6.95,1855773
ADORWELD,2018-01-01,499,512.45,490.05,495.5,35138
ADVANIHOTR,2018-01-01,79,82,78.55,79.25,31369
ADVENZYMES,2018-01-01,279.6,281,277.45,278.45,102143
AEGISCHEM,2018-01-01,284,294.8,281.1,289.45,203299
AFL,2018-01-01,54,54.7,54,54.7,2161
AGLSL,2018-01-01,119.9,119.9,116,116.4,6133
AGRITECH,2018-01-01,121,122,118,118.85,11288
AHLEAST,2018-01-01,267.2,279.5,267.2,274.1,1179
AHLUCONT,2018-01-01,399.9,402.85,381.3,383.5,41647
AIAENG,2018-01-01,1559.95,1559.95,1529,1536.65,69536
AIFL,2018-01-01,470.05,473.65,450,453.2,216159
AJANTPHARM,2018-01-01,1498.4,1522,1490,1493.75,225361
AJMERA,2018-01-01,326.8,331.3,325,326.2,75949
AKSHARCHEM,2018-01-01,770,791,760,766.15,37547
AKZOINDIA,2018-01-01,1850,1875,1831,1860.05,17137
ALANKIT,2018-01-01,72,73.1,69.8,73.1,471618
ALBERTDAVD,2018-01-01,357,357,344.15,347.2,2828
ALBK,2018-01-01,74,74.5,73,73.75,977504
ALEMBICLTD,2018-01-01,57.75,59.4,55.9,57.85,4028397
ALICON,2018-01-01,703.05,719.8,700,701.95,10228
ALKALI,2018-01-01,82.75,83.3,79.1,80.8,7803
ALKEM,2018-01-01,2201,2257.8,2187.5,2225.95,30620
ALKYLAMINE,2018-01-01,674,677.15,651.1,658.8,6853
ALLCARGO,2018-01-01,209.9,215.6,208.15,209.15,778527
ALLSEC,2018-01-01,445,453,438,441.65,4444
ALPA,2018-01-01,43.65,46.55,43,44.8,345532
ALPHAGEO,2018-01-01,926,930,915.1,919.7,12885
AMARAJABAT,2018-01-01,839.7,845.6,831.1,834.45,228683
AMBIKCO,2018-01-01,1335.6,1364.9,1318,1359.75,4534
AMBUJACEM,2018-01-01,271.1,273.1,264.35,268.05,1408955
AMDIND,2018-01-01,46.3,49.3,45.2,46.9,107838
AMRUTANJAN,2018-01-01,648.1,652.7,635,641.45,12310
ANANTRAJ,2018-01-01,72.3,74.9,71.45,72.2,3998139
ANDHRABANK,2018-01-01,58.4,58.95,58.1,58.4,988753
ANDHRACEMT,2018-01-01,13.8,14.3,13.75,13.85,789828
ANDHRSUGAR,2018-01-01,537.45,543,530.75,533.3,20089
ANGIND,2018-01-01,8.25,8.25,7.6,7.6,88543
ANIKINDS,2018-01-01,48.75,48.75,44.2,46.05,26137
ANSALAPI,2018-01-01,27,27.8,25.9,27.4,737501
ANSALHSG,2018-01-01,27,28.7,26.5,27.15,228687
APARINDS,2018-01-01,810.05,828,802.05,806.25,6859
APCL,2018-01-01,241.4,244.9,235.2,238.25,3883
APCOTEXIND,2018-01-01,497,502.8,492.6,496.45,9558
APEX,2018-01-01,844,855,820,830.05,162743
APLAPOLLO,2018-01-01,1970,1994.95,1955,1980.6,20649
APLLTD,2018-01-01,532.9,538,529.85,531.2,9061
APOLLOHOSP,2018-01-01,1216,1216,1199.1,1202.55,117565
APOLLOTYRE,2018-01-01,268.25,272.7,266.75,268.85,1308125
APOLSINHOT,2018-01-01,1154.95,1364.1,1154.95,1304.6,9341
APTECHT,2018-01-01,366.6,374,362.3,365.35,289472
ARCHIDPLY,2018-01-01,113.75,119,112.05,116.65,175692
ARCHIES,2018-01-01,47.45,48.8,45,45.65,565752
ARCOTECH,2018-01-01,56,56.9,55.65,55.9,749792
ARIHANTSUP,2018-01-01,177.35,177.6,169,172.1,126954
AROGRANITE,2018-01-01,83.25,85.65,81,82,289029
ARROWGREEN,2018-01-01,480,495.45,477,480.85,22153
ARROWTEX,2018-01-01,45.85,46.15,45,45.95,49947
ARSHIYA,2018-01-01,109,109.9,106.35,107.2,112390
ARVIND,2018-01-01,451.2,453.3,443.5,445.95,753084
ARVSMART,2018-01-01,198.7,203,196.25,199.75,74829
ASAHIINDIA,2018-01-01,365.8,374.95,365.8,370.9,10506
ASAHISONG,2018-01-01,368.15,368.15,361.35,362.65,3454
ASAL,2018-01-01,100.65,107.2,97.95,101.3,117116
ASHAPURMIN,2018-01-01,94.7,98.35,94.7,95.5,352812
ASHIANA,2018-01-01,187,193.8,186,186.6,354636
ASHIMASYN,2018-01-01,31.5,32.25,31.15,31.55,268072
ASHOKA,2018-01-01,245,250.8,242.05,245.95,203618
ASHOKLEY,2018-01-01,119.65,122.5,118.05,118.65,10218058
ASIANHOTNR,2018-01-01,179.85,179.85,175,176.4,17927
ASIANPAINT,2018-01-01,1163,1165,1138.1,1143.65,591349
ASIANTILES,2018-01-01,580,583,563.05,570.15,187627
ASPINWALL,2018-01-01,517.25,548,517.25,535.35,15296
ASTEC,2018-01-01,551.3,557.45,545,549.2,9651
ASTRAL,2018-01-01,850,852.95,832,835.55,11270
ASTRAMICRO,2018-01-01,114.25,124.35,114.25,118.75,798949
ASTRAZEN,2018-01-01,1160,1200,1160,1174.25,13427
ATFL,2018-01-01,718,728.95,700.6,710.4,16797
ATLANTA,2018-01-01,118.2,118.55,114.5,115.4,616035
ATUL,2018-01-01,2710,2775,2710,2752.1,6228
ATULAUTO,2018-01-01,455,460,449.6,456.35,32224
AUBANK,2018-01-01,669,676.2,659,662.85,92576
AURIONPRO,2018-01-01,233,251.75,232.95,245.1,377614
AUROPHARMA,2018-01-01,690,698.8,681,683.95,1629631
AUSOMENT,2018-01-01,74.35,77.5,72.6,74.25,8830
AUTOAXLES,2018-01-01,1435.2,1468,1416,1441,15564
AUTOLITIND,2018-01-01,69.75,72.5,68.2,70.1,26268
AVADHSUGAR,2018-01-01,810.05,830,802.6,808.6,28750
AVANTIFEED,2018-01-01,2555.9,2654,2541,2585.25,113531
AVTNPL,2018-01-01,59.8,60.25,56.8,57.3,548632
AXISBANK,2018-01-01,563.8,569.8,560.5,565.5,6943234
AXISCADES,2018-01-01,201.65,211.9,198.15,204.5,522282
AXISGOLD,2018-01-01,2577,2577,2547,2565,157
AXISNIFTY,2018-01-01,1053.45,1053.5,1045,1045,19
AYMSYNTEX,2018-01-01,67.35,68.4,65.5,66,43473
BAFNAPHARM,2018-01-01,28.35,29.85,28.35,28.5,41180
BAJAJ-AUTO,2018-01-01,3340,3345.05,3276.4,3289.25,174560
BAJAJCORP,2018-01-01,482.9,493.35,477.1,487.75,23617
BAJAJELEC,2018-01-01,495,501.45,486.35,489.25,111959
